Step,Pedro.celular.x,Pedro.celular.y,Pedro.maleta.x,Pedro.maleta.y,Pedro.mochila.x,Pedro.mochila.y,Pedro.tablet.x,Pedro.tablet.y,Juan.celular.x,Juan.celular.y,Juan.llaves.x,Juan.llaves.y,Diego.celular.x,Diego.celular.y,Diego.llaves.x,Diego.llaves.y,Diego.mochila.x,Diego.mochila.y,Diego.tablet.x,Diego.tablet.y,
0,5.0,5.0,5.0,7.800000190734863,12.600000381469727,1.2000000476837158,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,0.0,0.10000000149011612,5.0,40.5,43.099998474121094,80.0,0.0,
2,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,0.0,5.0,5.0,40.5,43.099998474121094,80.0,0.0,
4,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,5.0,5.0,40.5,43.099998474121094,80.0,0.0,
5,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,5.0,5.0,40.5,43.099998474121094,80.0,0.0,
6,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,5.0,5.0,40.5,43.099998474121094,80.0,0.0,
7,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,5.0,5.0,40.5,43.099998474121094,80.0,0.0,
8,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
9,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.1000061035156,63.0,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
10,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
11,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
12,5.0,5.0,5.0,5.0,5.0,5.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
13,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
16,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
17,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
18,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
19,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
20,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
21,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,40.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
22,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,90.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
23,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,90.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
24,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,90.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
25,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,90.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
26,9.0,9.0,9.0,9.0,9.0,9.0,30.5,90.4000015258789,500.6000061035156,62.20000076293945,30.100000381469727,30.799999237060547,90.0,20.0,40.0,20.0,40.5,43.099998474121094,80.0,0.0,
